species,lease_area,month,buffer_size,density
Atlantic_spotted_dolphin,OCS-A 0520 - Beacon Wind LLC,1,100000,0.11430554
Atlantic_spotted_dolphin,OCS-A 0521 - SouthCoast Wind Energy LLC,1,0,0.0010425153
Atlantic_spotted_dolphin,OCS-A 0521 - SouthCoast Wind Energy LLC,1,10000,0.001139785
Atlantic_spotted_dolphin,OCS-A 0521 - SouthCoast Wind Energy LLC,1,50000,0.002324905
Atlantic_spotted_dolphin,OCS-A 0521 - SouthCoast Wind Energy LLC,1,100000,0.19004078
Atlantic_spotted_dolphin,OCS-A 0522 - Vineyard Northeast LLC,1,0,0.00066880876
Atlantic_spotted_dolphin,OCS-A 0522 - Vineyard Northeast LLC,1,10000,0.00077088276
Atlantic_spotted_dolphin,OCS-A 0522 - Vineyard Northeast LLC,1,50000,0.00207993
Atlantic_spotted_dolphin,OCS-A 0522 - Vineyard Northeast LLC,1,100000,0.2266442
Atlantic_spotted_dolphin,OCS-A 0532 - Orsted North America Inc.,1,0,0.00033207066
Atlantic_spotted_dolphin,OCS-A 0532 - Orsted North America Inc.,1,10000,0.0009289215
Atlantic_spotted_dolphin,OCS-A 0532 - Orsted North America Inc.,1,50000,0.008907062
Atlantic_spotted_dolphin,OCS-A 0532 - Orsted North America Inc.,1,100000,0.054085433
Atlantic_spotted_dolphin,OCS-A 0534 - Park City Wind LLC,1,0,0.0014291753
Atlantic_spotted_dolphin,OCS-A 0534 - Park City Wind LLC,1,10000,0.0011399058
Atlantic_spotted_dolphin,OCS-A 0534 - Park City Wind LLC,1,50000,0.0018344718
Atlantic_spotted_dolphin,OCS-A 0534 - Park City Wind LLC,1,100000,0.035139527
Atlantic_spotted_dolphin,"OCS-A 0537 - Bluepoint Wind, LLC",1,0,0.023895312
Atlantic_spotted_dolphin,"OCS-A 0537 - Bluepoint Wind, LLC",1,10000,0.02877046
Atlantic_spotted_dolphin,"OCS-A 0537 - Bluepoint Wind, LLC",1,50000,0.031662777
Atlantic_spotted_dolphin,"OCS-A 0537 - Bluepoint Wind, LLC",1,100000,0.3140757
Atlantic_spotted_dolphin,OCS-A 0538 - Attentive Energy LLC,1,0,0.013068441
Atlantic_spotted_dolphin,OCS-A 0538 - Attentive Energy LLC,1,10000,0.016898181
Atlantic_spotted_dolphin,OCS-A 0538 - Attentive Energy LLC,1,50000,0.03228516
Atlantic_spotted_dolphin,OCS-A 0538 - Attentive Energy LLC,1,100000,0.31693006
Atlantic_spotted_dolphin,"OCS-A 0539 - Community Offshore Wind, LLC",1,0,0.010151504
Atlantic_spotted_dolphin,"OCS-A 0539 - Community Offshore Wind, LLC",1,10000,0.0123959
Atlantic_spotted_dolphin,"OCS-A 0539 - Community Offshore Wind, LLC",1,50000,0.03775079
Atlantic_spotted_dolphin,"OCS-A 0539 - Community Offshore Wind, LLC",1,100000,0.37721065
Atlantic_spotted_dolphin,"OCS-A 0541 - Atlantic Shores Offshore Wind Bight, LLC",1,0,0.008710646
Atlantic_spotted_dolphin,"OCS-A 0541 - Atlantic Shores Offshore Wind Bight, LLC",1,10000,0.008789935
Atlantic_spotted_dolphin,"OCS-A 0541 - Atlantic Shores Offshore Wind Bight, LLC",1,50000,0.032454297
Atlantic_spotted_dolphin,"OCS-A 0541 - Atlantic Shores Offshore Wind Bight, LLC",1,100000,0.33182672
Atlantic_spotted_dolphin,OCS-A 0542 - Invenergy Wind Offshore LLC,1,0,0.013800045
Atlantic_spotted_dolphin,OCS-A 0542 - Invenergy Wind Offshore LLC,1,10000,0.014438748
Atlantic_spotted_dolphin,OCS-A 0542 - Invenergy Wind Offshore LLC,1,50000,0.0467755
Atlantic_spotted_dolphin,OCS-A 0542 - Invenergy Wind Offshore LLC,1,100000,0.5058265
Atlantic_spotted_dolphin,OCS-A 0544 - Vineyard Mid-Atlantic LLC,1,0,0.002613942
